Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
FE_OFC2_int_reg_1d_5            3.817e+07       3.817e+07  0.0001528    0.002094    2.26e-05    0.002269      0.1673    CLKBUF_X2
mul_F1_mult_16_U14              1.791e+08       4.327e+08   0.001539   0.0006433    6.93e-05    0.002251       0.166    FA_X1
FE_OFC11_int_reg_2d_9           4.875e+07       4.875e+07  0.0001946    0.001953   2.268e-05    0.002171        0.16    CLKBUF_X2
mul_F3_mult_16_U331             5.246e+08       5.242e+08   0.002144           0   2.481e-05    0.002168      0.1598    XOR2_X1
mul_F1_mult_16_U56               1.47e+08       3.519e+08    0.00125   0.0008426   6.867e-05    0.002161      0.1593    FA_X1
mul_F1_mult_16_U15              2.075e+08       4.063e+08   0.001445   0.0006489   6.513e-05    0.002159      0.1591    FA_X1
mul_E2_mult_16_U13               1.67e+08       4.014e+08   0.001445   0.0005882    8.59e-05    0.002119      0.1562    FA_X1
mul_E2_mult_16_U15              1.784e+08       4.089e+08   0.001451   0.0005995   6.539e-05    0.002116       0.156    FA_X1
mul_F0_mult_16_U332             4.573e+07       8.768e+07  0.0005434     0.00148    7.54e-05    0.002099      0.1547    XOR2_X2
U445                            5.578e+08       5.348e+08   0.001602   0.0004499    2.52e-05    0.002077      0.1531    OAI22_X1
mul_E3_mult_16_U13              1.534e+08       3.885e+08   0.001397   0.0005917   8.353e-05    0.002072      0.1527    FA_X1
mul_E2_mult_16_U41              1.497e+08       3.356e+08   0.001195   0.0008057   6.727e-05    0.002068      0.1524    FA_X1
FE_OFC5_int_reg_1d_1            3.439e+07       3.439e+07  0.0001376    0.001902   2.228e-05    0.002062       0.152    CLKBUF_X2
mul_F1_mult_16_U327             4.573e+07       8.768e+07  0.0005434    0.001432    7.54e-05    0.002051      0.1512    XOR2_X2
FE_OFC13_int_reg_2d_10          4.875e+07       4.875e+07  0.0001948     0.00183   2.268e-05    0.002048      0.1509    CLKBUF_X2
mul_F0_mult_16_U337             4.943e+08        4.94e+08   0.002015           0   2.477e-05     0.00204      0.1504    XOR2_X1
mul_E2_mult_16_U332             4.573e+07       8.768e+07  0.0005434    0.001421    7.54e-05     0.00204      0.1504    XOR2_X2
mul_F2_mult_16_U329             4.573e+07        8.73e+07  0.0005235    0.001439   7.577e-05    0.002039      0.1503    XOR2_X2
mul_E3_mult_16_U333             4.573e+07        8.73e+07  0.0005235    0.001423   7.577e-05    0.002023      0.1491    XOR2_X2
mul_F2_mult_16_U37              1.236e+08        3.22e+08   0.001177   0.0007714   7.295e-05    0.002021       0.149    FA_X1
mul_E3_mult_16_U337             4.841e+08       4.837e+08   0.001995           0   2.542e-05     0.00202      0.1489    XOR2_X1
mul_F3_mult_16_U328             4.535e+07       8.692e+07  0.0005239    0.001421   7.523e-05     0.00202      0.1489    XOR2_X2
mul_E2_mult_16_U337             4.822e+08       4.822e+08   0.001989           0   2.545e-05    0.002015      0.1485    XOR2_X1
mul_E2_mult_16_U50              1.308e+08        3.19e+08   0.001147    0.000778   7.069e-05    0.001996      0.1471    FA_X1
int_reg_3d_reg_9_               1.667e+08       9.675e+07  0.0008189    0.001077   8.825e-05    0.001984      0.1463    DFFR_X1
U433                            5.068e+08       5.064e+08   0.001516   0.0004197    2.49e-05     0.00196      0.1445    OAI22_X1
mul_F2_mult_16_U333             4.735e+08       4.732e+08   0.001929           0   2.478e-05    0.001954       0.144    XOR2_X1
mul_E2_mult_16_U37              1.376e+08       3.061e+08   0.001113    0.000767   7.329e-05    0.001953       0.144    FA_X1
mul_F0_mult_16_U37              1.353e+08       3.054e+08   0.001115   0.0007338   7.711e-05    0.001926      0.1419    FA_X1
mul_F1_mult_16_U37               1.24e+08       3.099e+08    0.00113   0.0007239   7.097e-05    0.001925      0.1419    FA_X1
mul_F0_mult_16_U56              1.413e+08       3.163e+08   0.001124   0.0007306   6.282e-05    0.001917      0.1413    FA_X1
int_reg_3d_reg_10_              1.667e+08       9.675e+07  0.0008191   0.0009962   8.825e-05    0.001904      0.1403    DFFR_X1
mul_F1_mult_16_U332             4.607e+08       4.607e+08   0.001875           0   2.477e-05      0.0019        0.14    XOR2_X1
