Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
mul_B0_mult_16_U257             2.443e+08       2.443e+08  0.0002324   0.0005101   1.408e-05   0.0007566     0.09813    INV_X1
DOUT_reg_4_                     4.065e+08       9.157e+06  0.0006341   2.919e-05   8.828e-05   0.0007516     0.09748    DFFR_X1
mul_B0_mult_16_U368             2.499e+08       1.629e+08  0.0004719    0.000229   4.684e-05   0.0007477     0.09697    AOI222_X1
mul_B2_mult_16_U45              4.843e+07       1.125e+08  0.0004034   0.0002652   7.602e-05   0.0007447     0.09658    FA_X1
mul_A1_mult_16_U49               4.53e+07       1.188e+08  0.0004231   0.0002452   7.207e-05   0.0007404     0.09603    FA_X1
int_reg_1d_reg_3_               1.824e+08       4.096e+07  0.0005781   7.057e-05    8.82e-05   0.0007368     0.09556    DFFR_X1
int_reg_1d_reg_4_                1.66e+08       2.843e+07  0.0004945   0.0001499   8.824e-05   0.0007327     0.09503    DFFR_X1
DOUT_reg_5_                     3.863e+08       9.157e+06  0.0006147   2.927e-05   8.828e-05   0.0007322     0.09497    DFFR_X1
mul_B0_mult_16_U381             1.831e+08       1.653e+08  0.0003405   0.0003452   3.504e-05   0.0007208     0.09348    OAI21_X1
add_B1_add_16_U2                1.219e+08       1.318e+08  0.0003994   0.0002846   3.465e-05   0.0007186      0.0932    XOR2_X1
U218                            2.227e+08       2.224e+08  0.0005005   0.0001896    2.59e-05    0.000716     0.09286    OAI21_X1
mul_B0_mult_16_U327             2.205e+08       2.205e+08  0.0004295    0.000246   3.799e-05   0.0007134     0.09253    XOR2_X1
mul_A2_mult_16_U53              4.458e+07       1.111e+08  0.0003971   0.0002343   7.687e-05   0.0007083     0.09186    FA_X1
mul_A2_mult_16_U45              5.036e+07       1.067e+08  0.0003766    0.000256   6.533e-05   0.0006979     0.09051    FA_X1
mul_B0_mult_16_U256             1.928e+08       1.928e+08  0.0002085   0.0004762   1.209e-05   0.0006968     0.09037    INV_X1
mul_B0_mult_16_U239             2.029e+08       2.029e+08    0.00022   0.0004657    1.01e-05   0.0006958     0.09025    INV_X1
mul_A1_mult_16_U33              4.506e+07        1.08e+08  0.0003884   0.0002283   7.637e-05   0.0006931     0.08989    FA_X1
mul_A2_mult_16_U25              3.373e+07       1.094e+08  0.0003884    0.000236   6.714e-05   0.0006916     0.08969    FA_X1
mul_B1_mult_16_U33              4.506e+07        1.08e+08  0.0003883   0.0002268   7.637e-05   0.0006915     0.08968    FA_X1
