Information: Updating design information... (UID-85)
Information: Propagating switching activity (low effort zero delay simulation). (PWR-6)
Warning: There is no defined clock in the design. (PWR-80)
Warning: Invalid switching activity annotation on constant net(s) is being ignored. (PWR-421)
 
****************************************
Report : power
        -net
        -cell
        -hier
        -analysis_effort low
        -sort_mode dynamic_power
Design : myiir_adv
Version: O-2018.06-SP4
Date   : Tue Nov  3 18:00:35 2020
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /software/dk/nangate45/synopsys/NangateOpenCellLibrary_typical_ecsm_nowlm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
myiir_adv              5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
mul_E2_mult_16_n394           32.764    0.553    0.0268      0.5319  a
mul_F0_mult_16_n394           32.764    0.553    0.0268      0.5319  a
mul_E3_mult_16_n395           32.764    0.540    0.0268      0.5319  a
VOUT                           0.310    0.898    0.0064      0.0012  a
int_add_F1_d[2]                3.782    0.626    0.0522      0.1193  a
int_mul_E2_d[3]                4.055    0.327    0.0484      0.1187  a
int_mul_E2_d[4]                4.055    0.327    0.0484      0.1187  a
int_mul_E2_d[5]                4.055    0.327    0.0484      0.1187  a
int_mul_E2_d[6]                4.055    0.327    0.0484      0.1187  a
int_mul_E2_d[7]                4.055    0.327    0.0484      0.1187  a
int_mul_E2_d[8]                4.055    0.327    0.0484      0.1187  a
int_mul_E2_d[9]                4.055    0.327    0.0484      0.1187  a
int_mul_E2_d[10]               4.055    0.327    0.0484      0.1187  a
int_mul_F2_d[1]                4.055    0.540    0.0506      0.1243  a
int_reg_2d[6]                 15.444    0.544    0.0265      0.2472  a
int_mul_E3_d[1]                3.782    0.385    0.0503      0.1150  a
int_mul_F0_d[2]                4.055    0.535    0.0495      0.1215  a
int_mul_E3_d[2]                3.782    0.331    0.0480      0.1098  a
int_mul_E3_d[3]                3.782    0.331    0.0480      0.1098  a
int_mul_E3_d[4]                3.782    0.331    0.0480      0.1098  a
int_mul_E3_d[5]                3.782    0.331    0.0480      0.1098  a
int_mul_E3_d[6]                3.782    0.331    0.0480      0.1098  a
int_mul_E3_d[7]                3.782    0.331    0.0480      0.1098  a
int_mul_E3_d[8]                3.782    0.331    0.0480      0.1098  a
int_mul_E3_d[9]                3.782    0.331    0.0480      0.1098  a
int_mul_E3_d[10]               3.782    0.331    0.0480      0.1098  a
n272                           4.035    0.456    0.0488      0.1190  a
n278                           4.035    0.456    0.0488      0.1190  a
n275                           4.035    0.456    0.0488      0.1190  a
n274                           4.035    0.460    0.0488      0.1190  a
n277                           4.035    0.460    0.0488      0.1190  a
VIN_reg_d1                    58.835    0.912    0.0068      0.2421  a
int_mul_F0_d[4]                4.055    0.540    0.0488      0.1196  a
int_mul_F0_d[5]                4.055    0.540    0.0488      0.1196  a
int_mul_F0_d[6]                4.055    0.540    0.0488      0.1196  a
int_mul_F0_d[7]                4.055    0.540    0.0488      0.1196  a
int_mul_F0_d[8]                4.055    0.540    0.0488      0.1196  a
